tsi,ts,date,time,lat,lon,speed,heading,hr,distance_orig,calories,nearest_land_lat,nearest_land_lon,avg_speed_15s,avg_speed_1k,dwid,distance,distance_to_land
1759017351.0003862,2025-09-27 23:55:51.000386-10,2025-09-27,13:55:51,20.9360496437,-156.3955132204,23.73264,200.15,130,,253.158,20.915482890936367,-156.39240107712092,22.264752,22.440964472049686,01998e98-a600-79ee-82e5-b6e98bafa701,6971.7922845495,2309.648079904345
1759017352.0003877,2025-09-27 23:55:52.000388-10,2025-09-27,13:55:52,20.935991096,-156.3955307614,24.66828,195.84,130,,253.158,20.91547898547769,-156.39242688653775,22.334784,22.450977391304345,01998e98-a600-79ee-82e5-b6e98bafa701,6978.552564831528,2303.5117609721497
1759017353.000389,2025-09-27 23:55:53.000389-10,2025-09-27,13:55:53,20.9359341035,-156.3955550525,24.716520000000003,202.34,130,,253.158,20.915474116277135,-156.3924590648904,22.422816,22.482569249999997,01998e98-a600-79ee-82e5-b6e98bafa701,6985.373504594279,2297.658319291441
1759017354.0003905,2025-09-27 23:55:54.00039-10,2025-09-27,13:55:54,20.9358821036,-156.3955853873,24.66828,225.36,130,,253.158,20.915468464779696,-156.3924964130907,22.613471999999998,22.507791749999992,01998e98-a600-79ee-82e5-b6e98bafa701,6991.958177225835,2292.45339834901
1759017355.000392,2025-09-27 23:55:55.000392-10,2025-09-27,13:55:55,20.9358563098,-156.3956397924,23.05224,242.86,130,,253.158,20.915464521257693,-156.39252247405088,22.712423999999995,22.523865749999995,01998e98-a600-79ee-82e5-b6e98bafa701,6998.294643684059,2290.461971649651
1759017356.0003934,2025-09-27 23:55:56.000394-10,2025-09-27,13:55:56,20.9358362971,-156.3956948595,21.54636,245.7,123,,254.337,20.915464521257693,-156.39252247405088,22.68972,22.55082299999999,01998e98-a600-79ee-82e5-b6e98bafa701,7004.431274799333,2289.0752645852863
1759017357.0004933,2025-09-27 23:55:57.000493-10,2025-09-27,13:55:57,20.9358115742,-156.3957431327,21.54636,243.48,123,,254.337,20.915464521257693,-156.39252247405088,22.667016,22.61139396226414,01998e98-a600-79ee-82e5-b6e98bafa701,7010.148892547542,2287.0827766060256
1759017358.0004945,2025-09-27 23:55:58.000494-10,2025-09-27,13:55:58,20.935788481,-156.3958002282,21.54636,250.33,123,,254.337,20.915464521257693,-156.39252247405088,22.644312,22.637567547169798,01998e98-a600-79ee-82e5-b6e98bafa701,7016.610621479571,2285.4183716254524
1759017359.0004969,2025-09-27 23:55:59.000497-10,2025-09-27,13:55:59,20.9357758183,-156.3958641619,23.274359999999998,259.07,123,,254.337,20.915464521257693,-156.39252247405088,22.757880000000004,22.66473283018867,01998e98-a600-79ee-82e5-b6e98bafa701,7023.398043591715,2285.0252137838143
1759017360.0005002,2025-09-27 23:56:00.0005-10,2025-09-27,13:56:00,20.9357709522,-156.3959263402,21.40236,282.91,123,,254.337,20.915464521257693,-156.39252247405088,22.746648,22.677033962264137,01998e98-a600-79ee-82e5-b6e98bafa701,7029.878139172592,2285.4804386836267
